DOI,Author,Title,Year,Source,Volume,Number,Pages,Url,Affiliations,Abstract,Keywords,Author Keywords,PMID,Source Abbrev,Total Citation Count,SJR,H index,Org QS,Database,Searching Keyword,Title Frequency,Abstract Frequency,DB Keyword Frequency,Author Keyword Frequency,Local Citation Count,Global Citation Count,Full Text Frequency
"10.1109/CIEES55704.2022.9990878","Janek, Marian","Investigating the Wavelength and Polarization of Electromagnetic Wave using Raspberry Pi Zero W","2022","2022 International Conference on Communications, Information, Electronic and Energy Systems, CIEES 2022 - Proceedings","NA","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146489979&doi=10.1109%2fCIEES55704.2022.9990878&partnerID=40&md5=bcdee562226a4b1b9c4dcdcd21ced2bf","University of Zilina, Feit, Dept. of Physics, Zilina, Slovakia","Two measurements concerning electromagnetic waves are presented. First measurement is devoted to the wavelength, the second one is to the polarization. In both cases the Raspberry Pi Zero W and Wi-Fi router at 2.4 GHz are used. In the first measurement two metal plates are arranged in a way to create standing wave to wavelength investigation. In the second measurement the plane of wires is arranged in a way to pass only particular polarization. Again, the Raspberry Pi Zero W is employed to investigate the polarization of electromagnetic wave. The suitability of measurements in the base laboratory course is approved.  © 2022 IEEE.","circular waveguides; electromagnetic wave polarization; laboratory course; malu law; metal plates; raspberry pi zero w; standing wave; electromagnetic waves","electromagnetic wave; malus law; polarization; raspberry pi zero w; wavelength","NA","Int. Conf. Commun., Inf., Electron. Energy Syst., CIEES - Proc.","0","NA","NA","NA","Scopus","raspberry pi","0","0","1","1","0","0","NA"
"10.1166/jctn.2019.8276","Kaur, Jasleen and Reddy, S.R.N.","Testing of linux performance monitoring tools on ARM based raspberry Pi","2019","Journal of Computational and Theoretical Nanoscience","16","9","3955 – 3960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074760733&doi=10.1166%2fjctn.2019.8276&partnerID=40&md5=4330f19c8064eeb202332d83e185767b","Department of Computer Science and Engineering, IGDTUW, New Delhi, 110006, India","The open source feature of Linux operating system has resulted in considerable number of Linux performance monitoring tools. These tools are utilized to calculate the execution performance of the Linux operating system. This paper provides a brief overview of different Linux performance monitoring tools. It then tests the various discussed tools on ARM based Raspberry Pi (Rpi) board. The experimental results are obtained with respect to the python script to monitor the real time environmental temperature and humidity. The performance of Raspberry Pi based monitoring system is estimated in view of parameters such as response time, context switches, memory and CPU usage etc. Copyright © 2019 American Scientific Publishers All rights reserved.","NA","dht11 sensor; linux; linux monitoring tools; linux performance; raspberry pi (rpi); raspbian operating system; temperature and humidity monitoring system","NA","J. Comput. Theor. Nanosci.","0","0.173","53","NA","Scopus","raspberry pi","0","0","0","1","0","0","18"
"10.1007/978-3-030-00214-5_81","Xu, Longkun","Remote control and monitoring system of robotic arm using raspberry Pi","2019","Advances in Intelligent Systems and Computing","856","NA","642 – 648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055116988&doi=10.1007%2f978-3-030-00214-5_81&partnerID=40&md5=408eb74f41d7702d330b7497d0a48dd7","College of Automation and Electronic Engineering, Qingdao University of Science and Technology, Qingdao, China","In order to meet the requirement of controlling and monitoring the remote robotic arm, a remote control system based on Raspberry Pi was proposed. The system takes the Raspberry Pi 3B as the core and controls the six-axis robot through the network in the upper computer. Meanwhile, the video will be captured by the USB camera and displayed in the master computer. The practice shows that the system can transmit control commands and monitor images reliably, and control the robotic arm to accomplish complex tasks. © Springer Nature Switzerland AG 2019.","intelligent mechatronics; pulse width modulation; robotic arms; robotics; complex task; control and monitoring systems; control command; mjpeg; raspberry pi; six-axis robots; upper computer; usb cameras; remote control","mjpeg; pwm; raspberry pi; remote control; robotic arm","NA","Adv. Intell. Sys. Comput.","1","0.215","48","NA","Scopus","raspberry pi","0","0","1","1","0","1","31"
"10.1109/ICCES45898.2019.9002390","Khichadi, Laxmi and Kumar, Siva Ganesh and Nagamani, K.","Building a Cloud Solution for Energy Management using Raspberry Pi","2019","Proceedings of the 4th International Conference on Communication and Electronics Systems, ICCES 2019","NA","NA","422 – 426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081161590&doi=10.1109%2fICCES45898.2019.9002390&partnerID=40&md5=43e1be450ae6e84aef4dad3888441ac6","Digital Communication Engineering, R v College of Engineering, Bangalore, India; Siemens Technology and Services Private Limited, Bangalore, India","Energy management plays important role in any business. The productivity of an organization will be increased by efficient use of the energy. Energy management reduces system cost and also helps user in analyzing the total energy consumed. In this paper the energy management is carried out efficiently at Siemens by collecting data from the power meters consumed by building and developing a web application in cloud using Raspberry Pi and Modbus Communication protocol. The paper also gives the configuration details of Node RED in Raspberry Pi. © 2019 IEEE.","collector efficiency; energy management; node red; power meters; siemens; system costs; total energy; web application; energy efficiency","energy management; modbus communication protocol; node red; raspberry pi","NA","Proc. Int. Conf. Commun. Electron. Syst., ICCES","1","NA","NA","NA","Scopus","raspberry pi","0","0","0","1","0","1","NA"
"10.3390/electronics5040066","Hernández Marcano, Néstor J. and Sørensen, Chres W. and Cabrera G, Juan A. and Wunderlich, Simon and Lucani, Daniel E. and Fitzek, Frank H. P.","On goodput and energy measurements of network coding schemes in the Raspberry Pi","2016","Electronics (Switzerland)","5","4","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992402703&doi=10.3390%2felectronics5040066&partnerID=40&md5=367bd6488550eb99807e17f5b401c294","Steinwurf ApS, Aalborg Øst, 9220, Denmark; Department of Electronic Systems, Aalborg University, Aalborg Øst, 9220, Denmark; Deutsche Telekom Chair of Communication Networks, Technische Universität Dresden, Dresden, 01062, Germany; SFB 912—Collaborative Research Center HAEC, Dresden, 01062, Germany","Given that next generation networks are expected to be populated by a large number of devices,there is a need for quick deployment and evaluation of alternative mechanisms to cope with the possible generated traffic in large-scale distributed data networks. In this sense,the Raspberry Pi has been a popular network node choice due to its reduced size,processing capabilities,low cost and its support by widely-used operating systems. For information transport,network coding is a new paradigm for fast and reliable data processing in networking and storage systems,which overcomes various limitations of state-of-the-art routing techniques. Therefore,in this work,we provide an in-depth performance evaluation of Random Linear Network Coding (RLNC)-based schemes for the Raspberry Pi Models 1 and 2,by showing the processing speed of the encoding and decoding operations and the corresponding energy consumption. Our results show that,in several scenarios,processing speeds of more than 80 Mbps in the Raspberry Pi Model 1 and 800 Mbps in the Raspberry Pi Model 2 are attainable. Moreover,we show that the processing energy per bit for network coding is below 1 nJ or even an order of magnitude less in these scenarios. © 2016 by the authors; licensee MDPI,Basel,Switzerland.","NA","energy; goodput; network coding; performance; raspberry pi","NA","Electronics (Switzerland)","9","0.590","49","194","Scopus","raspberry pi","0","0","0","1","0","9","16"
"10.1109/ICACCS.2013.6938691","Danymol, R. and Ajitha, T. and Gandhiraj, R.","Real-time communication system design using RTL-SDR and Raspberry Pi","2014","ICACCS 2013 - Proceedings of the 2013 International Conference on Advanced Computing and Communication Systems: Bringing to the Table, Futuristic Technologies from Around the Globe","NA","NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912126729&doi=10.1109%2fICACCS.2013.6938691&partnerID=40&md5=6b300122fcb63e749568df9cbbb48be7","Centre for Excellence in Computational Engineering and Networking, Amrita Vishwa Vidyapeetham, Coimbatore, 641112, India; Department of Electronics and Communication Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, 641112, India","RTL-2832U USB receiver - Raspberry Pi setup receives and decodes the FM signals and sends to another computer across the Local Area Network. It can be realized by means of SDR-Sharp software in remote PC; hence it can be used for communication. Raspberry Pi is a low cost, credit-card sized computer. Whereas RTL-2832U USB receiver has a mode where it dumps raw IQ samples over USB to the computer. The GNU Radio experiments supports this relatively cheap USB receiver as a software defined radio. Using GNU Radio Companion, all real-time communication experiments can be reproduced. © 2013 IEEE.","open source software; systems analysis; credit cards; fm signals; gnu radio; real-time communication; real-time communication system; rtl-sdr; sdr sharp; software-defined radios; software radio","gnu radio; raspberry pi; rtl-sdr; sdr sharp","NA","ICACCS - Proc. Int. Conf. Adv. Comput. Commun. Syst.: Bringing Table, Futuristic Technol. Around Globe","13","0.118","7","1001-1200","Scopus","raspberry pi","0","0","0","1","3","10","46"
"10.1088/1757-899X/822/1/012038","Volkov, D.A. and Kuznetsov, A.A. and Sayapin, A.V.","Using the Raspberry Pi single-board computer for solving problems in MATLAB when developing an underwater vehicle","2020","IOP Conference Series: Materials Science and Engineering","822","1","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085556158&doi=10.1088%2f1757-899X%2f822%2f1%2f012038&partnerID=40&md5=65fecba82af2adf7dd7c2c08beae1b94","Reshetnev Siberian State University of Science and Technology, 31, Krasnoyarsky Rabochy Av., Krasnoyarsk, 660037, Russian Federation","This article represents description of the developed concept of an underwater remotely controlled vehicle (URCV). Explains the steps required to establish a connection between the MATLAB computational environment and the Raspberry Pi single-board computer. The ways of using the Raspberry Pi hardware in MATLAB are considered. Using the Raspberry Pi hardware resources allows you to establish a connection between the computer environment and the outside world. © Published under licence by IOP Publishing Ltd.","NA","NA","NA","IOP Conf. Ser. Mater. Sci. Eng.","0","0.249","48","NA","Scopus","raspberry pi","0","0","0","0","0","0","42"
"10.1109/ICECDS.2017.8389555","Narmada, T. and Nagamma, N.N. and Lakshmaiah, M.V. and Kumar, V. Ramesh and Pakardin, G.","Raspberry Pi 2 based prepaid electricity billing system for below poverty","2018","2017 International Conference on Energy, Communication, Data Analytics and Soft Computing, ICECDS 2017","NA","NA","835 – 840","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050089022&doi=10.1109%2fICECDS.2017.8389555&partnerID=40&md5=bfe0cf9ea050da7ec0fb41c83c6d46d3","Dept. of Electronics, Sri Krishnadevaraya University, Ananthapuramu, 515003, A.P, India; Government Degree College, Pathikonda Kurnool (dst), Andhra Pradesh, India; Government College for Men, Kadapa, Andhra Pradesh, India","In this paper, the Raspberry P 2 based prepaid electricity billing system for below poverty in developed. Nowadays the electricity board on behalf of Government, releases a benefits for the below Poverty peoples in India especially. The electricity board on behalf of Government has provided 100 units to poor people a month, but some of the people may consumes more than limited units (100 units) a month. The remaining units consumed by people are bourdons to the electricity board and loss of revenue. The loss is going to reduce by implementing Raspberry Pi 2 based prepaid electricity billing system. After consuming the units presented by board, the power is automatically cutoff by automated. © 2017 IEEE.","electric transformers; global system for mobile communications; buzzer; electricity billing system; raspberry pi 2; relay; soft computing","71m6543f microcontroller; buzzer; current transformer and mobile phone; gsm; raspberry pi 2 processor; relay","NA","Int. Conf. Energy, Commun., Data Anal. Soft Comput., ICECDS","0","0.144","14","NA","Scopus","raspberry pi","0","0","1","1","0","0","32"
"10.1109/MCE.2017.2685038","Coughlin, Tom","Supersize My Pi [The Art of Storage]","2017","IEEE Consumer Electronics Magazine","6","3","124–125 and 144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021174778&doi=10.1109%2fMCE.2017.2685038&partnerID=40&md5=c3054bf4c21c198e0bb3492e1910677b","Coughlin Assoc., Canada","The Raspberry Pi is a series of small, single-board computers developed in the United Kingdom by the Raspberry Pi Foundation to promote the teaching of basic computer science in schools and developing countries [1]. The first Raspberry Pi was introduced in February 2012; however, the low cost of this computer platform and its flexibility have led to much greater use by hobbyists and device designers worldwide. According to the Raspberry Pi Foundation, over 10 million Raspberry Pis (now up to Generation 3) have been sold, making it the best-selling British computer [1]. Figure 1 shows a Generation 3 Raspberry Pi computer. © 2012 IEEE.","developing countries; computer platforms; device designers; low costs; single board computers; united kingdom; teaching","NA","NA","IEEE Consum. Electron. Mag.","1","1.441","36","NA","Scopus","raspberry pi","0","0","0","0","0","1","39"
"10.1007/978-981-16-3690-5_101","Shruthi, G. and Gowtham, N. and Junedh, Mohammed and Sahana, M. and Sahana, S.K.","Smart Mirror Based on Raspberry Pi","2022","Lecture Notes in Electrical Engineering","783","NA","1067 – 1073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119872647&doi=10.1007%2f978-981-16-3690-5_101&partnerID=40&md5=4442f730d6fb28ffd8b9502bcce1b91f","Department of Electronics and Communication, Don Bosco Institute of Technology, Bengaluru, India","Intelligent systems are not only used on mobiles, tabs, computers; but can also be used on mirrors. An intelligent mirror based on Raspberry pi is set for home. The system of raspberry pi is linked to net through Wi-Fi and obtain the data about weather forecast, daily news etc. The Raspberry pi is programmed with the help python & connects to a monitor with speaker so as to provide onscreen interface. This adds an additional features of face recognition for security & smart unravel process. This also includes the emotional recognition of a face, which identifies the different emotions on a face. The details are displayed on a LED monitor camouflaged with a mirror. The mirror provides basic conveniences like weather of the city, time, news details and also we can recognize the user’s face and verify the person. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","face recognition; high level languages; intelligent systems; mirrors; weather forecasting; emotional recognition; raspberry pi; smart mirror; python","python; raspberry pi; smart mirror","NA","Lect. Notes Electr. Eng.","0","0.148","36","NA","Scopus","raspberry pi","0","3","1","1","0","0","14"
