DOI,MLA,APA,Chicago,Harvard,Vancouver
"10.1109/CIEES55704.2022.9990878","Janek, Marian. “Investigating the Wavelength and Polarization of Electromagnetic Wave Using Raspberry Pi Zero W.” 2022 International Conference on Communications, Information, Electronic and Energy Systems (CIEES), IEEE, 24 Nov. 2022. Crossref, https://doi.org/10.1109/ciees55704.2022.9990878.","Janek, M. (2022). Investigating the Wavelength and Polarization of Electromagnetic Wave using Raspberry Pi Zero W. In 2022 International Conference on Communications, Information, Electronic and Energy Systems (CIEES). 2022 International Conference on Communications, Information, Electronic and Energy Systems (CIEES). IEEE. https://doi.org/10.1109/ciees55704.2022.9990878","Janek, Marian. 2022. “Investigating the Wavelength and Polarization of Electromagnetic Wave Using Raspberry Pi Zero W.” 2022 International Conference on Communications, Information, Electronic and Energy Systems (CIEES). IEEE. https://doi.org/10.1109/ciees55704.2022.9990878.","Janek, M. (2022) “Investigating the Wavelength and Polarization of Electromagnetic Wave using Raspberry Pi Zero W,” 2022 International Conference on Communications, Information, Electronic and Energy Systems (CIEES). 2022 International Conference on Communications, Information, Electronic and Energy Systems (CIEES), IEEE. Available at: https://doi.org/10.1109/ciees55704.2022.9990878.","Janek M. Investigating the Wavelength and Polarization of Electromagnetic Wave using Raspberry Pi Zero W. 2022 International Conference on Communications, Information, Electronic and Energy Systems (CIEES) 2022. https://doi.org/10.1109/ciees55704.2022.9990878."
"10.1166/jctn.2019.8276","Kaur, Jasleen, and S. R. N. Reddy. “Testing of Linux Performance Monitoring Tools on ARM Based Raspberry Pi.” Journal of Computational and Theoretical Nanoscience, vol. 16, no. 9, American Scientific Publishers, 1 Sept. 2019, pp. 3955–60. Crossref, https://doi.org/10.1166/jctn.2019.8276.","Kaur, J., & Reddy, S. R. N. (2019). Testing of Linux Performance Monitoring Tools on ARM Based Raspberry Pi. In Journal of Computational and Theoretical Nanoscience (Vol. 16, Issue 9, pp. 3955–3960). American Scientific Publishers. https://doi.org/10.1166/jctn.2019.8276","Kaur, Jasleen, and S. R. N. Reddy. 2019. “Testing of Linux Performance Monitoring Tools on ARM Based Raspberry Pi.” Journal of Computational and Theoretical Nanoscience. American Scientific Publishers. https://doi.org/10.1166/jctn.2019.8276.","Kaur, J. and Reddy, S.R.N. (2019) “Testing of Linux Performance Monitoring Tools on ARM Based Raspberry Pi,” Journal of Computational and Theoretical Nanoscience. American Scientific Publishers. Available at: https://doi.org/10.1166/jctn.2019.8276.","Kaur J, Reddy SRN. Testing of Linux Performance Monitoring Tools on ARM Based Raspberry Pi. J Comput Theor Nanosci 2019;16:3955–60. https://doi.org/10.1166/jctn.2019.8276."
"10.1007/978-3-030-00214-5_81","Xu, Longkun. “Remote Control and Monitoring System of Robotic Arm Using Raspberry Pi.” Advances in Intelligent Systems and Computing, Springer International Publishing, 5 Oct. 2018, pp. 642–48. Crossref, https://doi.org/10.1007/978-3-030-00214-5_81.","Xu, L. (2018). Remote Control and Monitoring System of Robotic Arm Using Raspberry Pi. In Advances in Intelligent Systems and Computing (pp. 642–648). Springer International Publishing. https://doi.org/10.1007/978-3-030-00214-5_81","Xu, Longkun. 2018. “Remote Control and Monitoring System of Robotic Arm Using Raspberry Pi.” Advances in Intelligent Systems and Computing. Springer International Publishing. https://doi.org/10.1007/978-3-030-00214-5_81.","Xu, L. (2018) “Remote Control and Monitoring System of Robotic Arm Using Raspberry Pi,” Advances in Intelligent Systems and Computing. Springer International Publishing. Available at: https://doi.org/10.1007/978-3-030-00214-5_81.","Xu L. Remote Control and Monitoring System of Robotic Arm Using Raspberry Pi. Advances in Intelligent Systems and Computing 2018:642–8. https://doi.org/10.1007/978-3-030-00214-5_81."
"10.1109/ICCES45898.2019.9002390","Khichadi, Laxmi, et al. “Building a Cloud Solution for Energy Management Using Raspberry Pi.” 2019 International Conference on Communication and Electronics Systems (ICCES), IEEE, July 2019. Crossref, https://doi.org/10.1109/icces45898.2019.9002390.","Khichadi, L., Kumar, S. G., & Nagamani, K. (2019). Building a Cloud Solution for Energy Management using Raspberry Pi. In 2019 International Conference on Communication and Electronics Systems (ICCES). 2019 International Conference on Communication and Electronics Systems (ICCES). IEEE. https://doi.org/10.1109/icces45898.2019.9002390","Khichadi, Laxmi, Siva Ganesh Kumar, and K. Nagamani. 2019. “Building a Cloud Solution for Energy Management Using Raspberry Pi.” 2019 International Conference on Communication and Electronics Systems (ICCES). IEEE. https://doi.org/10.1109/icces45898.2019.9002390.","Khichadi, L., Kumar, S.G. and Nagamani, K. (2019) “Building a Cloud Solution for Energy Management using Raspberry Pi,” 2019 International Conference on Communication and Electronics Systems (ICCES). 2019 International Conference on Communication and Electronics Systems (ICCES), IEEE. Available at: https://doi.org/10.1109/icces45898.2019.9002390.","Khichadi L, Kumar SG, Nagamani K. Building a Cloud Solution for Energy Management using Raspberry Pi. 2019 International Conference on Communication and Electronics Systems (ICCES) 2019. https://doi.org/10.1109/icces45898.2019.9002390."
"10.3390/electronics5040066","Hernández Marcano, Néstor, et al. “On Goodput and Energy Measurements of Network Coding Schemes in the Raspberry Pi.” Electronics, vol. 5, no. 4, MDPI AG, 13 Oct. 2016, p. 66. Crossref, https://doi.org/10.3390/electronics5040066.","Hernández Marcano, N., Sørensen, C., Cabrera G., J., Wunderlich, S., Lucani, D., & Fitzek, F. (2016). On Goodput and Energy Measurements of Network Coding Schemes in the Raspberry Pi. In Electronics (Vol. 5, Issue 4, p. 66). MDPI AG. https://doi.org/10.3390/electronics5040066","Hernández Marcano, Néstor, Chres Sørensen, Juan Cabrera G., Simon Wunderlich, Daniel Lucani, and Frank Fitzek. 2016. “On Goodput and Energy Measurements of Network Coding Schemes in the Raspberry Pi.” Electronics. MDPI AG. https://doi.org/10.3390/electronics5040066.","Hernández Marcano, N. et al. (2016) “On Goodput and Energy Measurements of Network Coding Schemes in the Raspberry Pi,” Electronics. MDPI AG. Available at: https://doi.org/10.3390/electronics5040066.","Hernández Marcano N, Sørensen C, Cabrera G. J, Wunderlich S, Lucani D, Fitzek F. On Goodput and Energy Measurements of Network Coding Schemes in the Raspberry Pi. Electronics 2016;5:66. https://doi.org/10.3390/electronics5040066."
"10.1109/ICACCS.2013.6938691","Danymol, R., et al. “Real-Time Communication System Design Using RTL-SDR and Raspberry Pi.” 2013 International Conference on Advanced Computing and Communication Systems, IEEE, Dec. 2013. Crossref, https://doi.org/10.1109/icaccs.2013.6938691.","Danymol, R., Ajitha, T., & Gandhiraj, R. (2013). Real-time communication system design using RTL-SDR and Raspberry Pi. In 2013 International Conference on Advanced Computing and Communication Systems. 2013 International Conference on Advanced Computing & Communication Systems (ICACCS). IEEE. https://doi.org/10.1109/icaccs.2013.6938691","Danymol, R., T. Ajitha, and R. Gandhiraj. 2013. “Real-Time Communication System Design Using RTL-SDR and Raspberry Pi.” 2013 International Conference on Advanced Computing and Communication Systems. IEEE. https://doi.org/10.1109/icaccs.2013.6938691.","Danymol, R., Ajitha, T. and Gandhiraj, R. (2013) “Real-time communication system design using RTL-SDR and Raspberry Pi,” 2013 International Conference on Advanced Computing and Communication Systems. 2013 International Conference on Advanced Computing & Communication Systems (ICACCS), IEEE. Available at: https://doi.org/10.1109/icaccs.2013.6938691.","Danymol R, Ajitha T, Gandhiraj R. Real-time communication system design using RTL-SDR and Raspberry Pi. 2013 International Conference on Advanced Computing and Communication Systems 2013. https://doi.org/10.1109/icaccs.2013.6938691."
"10.1088/1757-899X/822/1/012038","Volkov, D. A., et al. “Using the Raspberry Pi Single-Board Computer for Solving Problems in MATLAB When Developing an Underwater Vehicle.” IOP Conference Series: Materials Science and Engineering, vol. 822, no. 1, IOP Publishing, 1 Apr. 2020, p. 012038. Crossref, https://doi.org/10.1088/1757-899x/822/1/012038.","Volkov, D. A., Kuznetsov, A. A., & Sayapin, A. V. (2020). Using the Raspberry Pi single-board computer for solving problems in MATLAB when developing an underwater vehicle. In IOP Conference Series: Materials Science and Engineering (Vol. 822, Issue 1, p. 012038). IOP Publishing. https://doi.org/10.1088/1757-899x/822/1/012038","Volkov, D A, A A Kuznetsov, and A V Sayapin. 2020. “Using the Raspberry Pi Single-Board Computer for Solving Problems in MATLAB When Developing an Underwater Vehicle.” IOP Conference Series: Materials Science and Engineering. IOP Publishing. https://doi.org/10.1088/1757-899x/822/1/012038.","Volkov, D.A., Kuznetsov, A.A. and Sayapin, A.V. (2020) “Using the Raspberry Pi single-board computer for solving problems in MATLAB when developing an underwater vehicle,” IOP Conference Series: Materials Science and Engineering. IOP Publishing. Available at: https://doi.org/10.1088/1757-899x/822/1/012038.","Volkov DA, Kuznetsov AA, Sayapin AV. Using the Raspberry Pi single-board computer for solving problems in MATLAB when developing an underwater vehicle. IOP Conf Ser: Mater Sci Eng 2020;822:012038. https://doi.org/10.1088/1757-899x/822/1/012038."
"10.1109/ICECDS.2017.8389555","Narmada, T., et al. “Raspberry Pi 2 Based Prepaid Electricity Billing System for below Poverty.” 2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS), IEEE, Aug. 2017. Crossref, https://doi.org/10.1109/icecds.2017.8389555.","Narmada, T., Nagamma, N. N., Lakshmaiah, M. V., Kumar, V. R., & Pakardin, G. (2017). Raspberry Pi 2 based prepaid electricity billing system for below poverty. In 2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS). 2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS). IEEE. https://doi.org/10.1109/icecds.2017.8389555","Narmada, T., N.N. Nagamma, M.V. Lakshmaiah, V. Ramesh Kumar, and G. Pakardin. 2017. “Raspberry Pi 2 Based Prepaid Electricity Billing System for below Poverty.” 2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS). IEEE. https://doi.org/10.1109/icecds.2017.8389555.","Narmada, T. et al. (2017) “Raspberry Pi 2 based prepaid electricity billing system for below poverty,” 2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS). 2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS), IEEE. Available at: https://doi.org/10.1109/icecds.2017.8389555.","Narmada T, Nagamma NN, Lakshmaiah MV, Kumar VR, Pakardin G. Raspberry Pi 2 based prepaid electricity billing system for below poverty. 2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS) 2017. https://doi.org/10.1109/icecds.2017.8389555."
"10.1109/MCE.2017.2685038","Coughlin, Tom. “Supersize My Pi [The Art of Storage].” IEEE Consumer Electronics Magazine, vol. 6, no. 3, Institute of Electrical and Electronics Engineers (IEEE), July 2017, pp. 124–44. Crossref, https://doi.org/10.1109/mce.2017.2685038.","Coughlin, T. (2017). Supersize My Pi [The Art of Storage]. In IEEE Consumer Electronics Magazine (Vol. 6, Issue 3, pp. 124–144). Institute of Electrical and Electronics Engineers (IEEE). https://doi.org/10.1109/mce.2017.2685038","Coughlin, Tom. 2017. “Supersize My Pi [The Art of Storage].” IEEE Consumer Electronics Magazine. Institute of Electrical and Electronics Engineers (IEEE). https://doi.org/10.1109/mce.2017.2685038.","Coughlin, T. (2017) “Supersize My Pi [The Art of Storage],” IEEE Consumer Electronics Magazine. Institute of Electrical and Electronics Engineers (IEEE). Available at: https://doi.org/10.1109/mce.2017.2685038.","Coughlin T. Supersize My Pi [The Art of Storage]. IEEE Consumer Electron Mag 2017;6:124–44. https://doi.org/10.1109/mce.2017.2685038."
"10.1007/978-981-16-3690-5_101","Shruthi, G., et al. “Smart Mirror Based on Raspberry Pi.” Lecture Notes in Electrical Engineering, Springer Singapore, 9 Nov. 2021, pp. 1067–73. Crossref, https://doi.org/10.1007/978-981-16-3690-5_101.","Shruthi, G., Gowtham, N., Junedh, M., Sahana, M., & Sahana, S. K. (2021). Smart Mirror Based on Raspberry Pi. In Lecture Notes in Electrical Engineering (pp. 1067–1073). Springer Singapore. https://doi.org/10.1007/978-981-16-3690-5_101","Shruthi, G., N. Gowtham, Mohammed Junedh, M. Sahana, and S. K. Sahana. 2021. “Smart Mirror Based on Raspberry Pi.” Lecture Notes in Electrical Engineering. Springer Singapore. https://doi.org/10.1007/978-981-16-3690-5_101.","Shruthi, G. et al. (2021) “Smart Mirror Based on Raspberry Pi,” Lecture Notes in Electrical Engineering. Springer Singapore. Available at: https://doi.org/10.1007/978-981-16-3690-5_101.","Shruthi G, Gowtham N, Junedh M, Sahana M, Sahana SK. Smart Mirror Based on Raspberry Pi. Lecture Notes in Electrical Engineering 2021:1067–73. https://doi.org/10.1007/978-981-16-3690-5_101."
